500 124750
0 1 19
0 2 20
0 3 43
0 4 41
0 5 3
0 6 11
0 7 27
0 8 37
0 9 45
0 10 45
0 11 35
0 12 40
0 13 15
0 14 18
0 15 49
0 16 40
0 17 41
0 18 28
0 19 50
0 20 6
0 21 35
0 22 7
0 23 41
0 24 21
0 25 1
0 26 19
0 27 33
0 28 41
0 29 44
0 30 28
0 31 32
0 32 12
0 33 49
0 34 24
0 35 4
0 36 1
0 37 37
0 38 33
0 39 39
0 40 33
0 41 29
0 42 24
0 43 23
0 44 44
0 45 41
0 46 21
0 47 35
0 48 32
0 49 50
0 50 34
0 51 39
0 52 36
0 53 40
0 54 31
0 55 9
0 56 42
0 57 50
0 58 41
0 59 32
0 60 45
0 61 20
0 62 13
0 63 8
0 64 18
0 65 39
0 66 11
0 67 21
0 68 27
0 69 45
0 70 11
0 71 9
0 72 24
0 73 34
0 74 33
0 75 17
0 76 27
0 77 3
0 78 3
0 79 10
0 80 5
0 81 36
0 82 50
0 83 42
0 84 25
0 85 30
0 86 50
0 87 19
0 88 31
0 89 43
0 90 50
0 91 25
0 92 12
0 93 15
0 94 32
0 95 32
0 96 5
0 97 45
0 98 2
0 99 31
0 100 41
0 101 12
0 102 39
0 103 14
0 104 48
0 105 24
0 106 32
0 107 26
0 108 28
0 109 34
0 110 37
0 111 32
0 112 21
0 113 38
0 114 24
0 115 48
0 116 17
0 117 23
0 118 16
0 119 50
0 120 17
0 121 17
0 122 26
0 123 29
0 124 33
0 125 10
0 126 10
0 127 37
0 128 6
0 129 13
0 130 19
0 131 46
0 132 26
0 133 10
0 134 10
0 135 25
0 136 33
0 137 43
0 138 2
0 139 10
0 140 27
0 141 40
0 142 42
0 143 47
0 144 27
0 145 17
0 146 46
0 147 46
0 148 41
0 149 11
0 150 45
0 151 8
0 152 28
0 153 22
0 154 38
0 155 10
0 156 31
0 157 49
0 158 49
0 159 36
0 160 13
0 161 17
0 162 34
0 163 38
0 164 26
0 165 43
0 166 15
0 167 8
0 168 37
0 169 16
0 170 18
0 171 13
0 172 8
0 173 11
0 174 12
0 175 34
0 176 29
0 177 7
0 178 29
0 179 19
0 180 20
0 181 25
0 182 28
0 183 47
0 184 47
0 185 15
0 186 8
0 187 29
0 188 15
0 189 6
0 190 17
0 191 27
0 192 25
0 193 50
0 194 15
0 195 50
0 196 44
0 197 31
0 198 10
0 199 30
0 200 48
0 201 29
0 202 45
0 203 5
0 204 41
0 205 8
0 206 39
0 207 19
0 208 14
0 209 19
0 210 39
0 211 35
0 212 44
0 213 19
0 214 31
0 215 42
0 216 35
0 217 41
0 218 20
0 219 50
0 220 48
0 221 36
0 222 26
0 223 22
0 224 37
0 225 42
0 226 24
0 227 30
0 228 22
0 229 33
0 230 10
0 231 20
0 232 11
0 233 4
0 234 24
0 235 3
0 236 11
0 237 14
0 238 21
0 239 26
0 240 33
0 241 11
0 242 11
0 243 28
0 244 29
0 245 43
0 246 19
0 247 14
0 248 35
0 249 38
0 250 15
0 251 33
0 252 26
0 253 40
0 254 4
0 255 12
0 256 32
0 257 27
0 258 44
0 259 3
0 260 9
0 261 3
0 262 24
0 263 21
0 264 8
0 265 50
0 266 23
0 267 20
0 268 13
0 269 45
0 270 47
0 271 47
0 272 8
0 273 7
0 274 24
0 275 38
0 276 2
0 277 42
0 278 3
0 279 36
0 280 32
0 281 17
0 282 18
0 283 9
0 284 7
0 285 24
0 286 20
0 287 40
0 288 50
0 289 15
0 290 44
0 291 11
0 292 17
0 293 18
0 294 33
0 295 26
0 296 19
0 297 8
0 298 47
0 299 33
0 300 4
0 301 44
0 302 30
0 303 11
0 304 2
0 305 3
0 306 1
0 307 3
0 308 47
0 309 3
0 310 41
0 311 28
0 312 20
0 313 10
0 314 36
0 315 28
0 316 33
0 317 7
0 318 17
0 319 35
0 320 22
0 321 12
0 322 47
0 323 40
0 324 31
0 325 29
0 326 18
0 327 49
0 328 38
0 329 14
0 330 32
0 331 42
0 332 7
0 333 13
0 334 4
0 335 9
0 336 15
0 337 4
0 338 13
0 339 13
0 340 7
0 341 3
0 342 40
0 343 28
0 344 15
0 345 27
0 346 7
0 347 47
0 348 36
0 349 23
0 350 33
0 351 9
0 352 36
0 353 29
0 354 50
0 355 17
0 356 10
0 357 17
0 358 15
0 359 47
0 360 31
0 361 48
0 362 40
0 363 39
0 364 10
